country,date,accumulated_confirmed,increase_of_confirmed
Armenia,2020-03-11,1,0
Armenia,2020-03-12,4,3
Armenia,2020-03-13,8,4
Armenia,2020-03-14,18,10
Armenia,2020-03-15,26,8
Armenia,2020-03-16,52,26
Armenia,2020-03-17,78,26
Armenia,2020-03-18,84,6
Armenia,2020-03-19,115,31
Armenia,2020-03-20,136,21
Armenia,2020-03-21,160,24
Armenia,2020-03-22,194,34
Armenia,2020-03-23,235,41
Armenia,2020-03-24,249,14
Armenia,2020-03-25,265,16
Armenia,2020-03-26,290,25
Armenia,2020-03-27,329,39
Australia,2020-03-01,27,0
Australia,2020-03-02,30,3
Australia,2020-03-03,39,9
Australia,2020-03-04,52,13
Australia,2020-03-05,55,3
Australia,2020-03-06,60,5
Australia,2020-03-07,63,3
Australia,2020-03-08,76,13
Australia,2020-03-09,91,15
Australia,2020-03-10,107,16
Australia,2020-03-11,128,21
Australia,2020-03-12,128,0
Australia,2020-03-13,200,72
Australia,2020-03-14,250,50
Australia,2020-03-15,297,47
Australia,2020-03-16,377,80
Australia,2020-03-17,452,75
Australia,2020-03-18,568,116
Australia,2020-03-19,681,113
Australia,2020-03-20,791,110
Australia,2020-03-21,1071,280
Australia,2020-03-22,1549,478
Australia,2020-03-23,1682,133
Australia,2020-03-24,2044,362
Australia,2020-03-25,2364,320
Australia,2020-03-26,2810,446
Australia,2020-03-27,3143,333
Austria,2020-03-01,14,0
Austria,2020-03-02,18,4
Austria,2020-03-03,21,3
Austria,2020-03-04,29,8
Austria,2020-03-05,41,12
Austria,2020-03-06,55,14
Austria,2020-03-07,79,24
Austria,2020-03-08,104,25
Austria,2020-03-09,131,27
Austria,2020-03-10,182,51
Austria,2020-03-11,246,64
Austria,2020-03-12,302,56
Austria,2020-03-13,504,202
Austria,2020-03-14,655,151
Austria,2020-03-15,860,205
Austria,2020-03-16,1018,158
Austria,2020-03-17,1332,314
Austria,2020-03-18,1646,314
Austria,2020-03-19,2013,367
Austria,2020-03-20,2388,375
Austria,2020-03-21,2814,426
Austria,2020-03-22,3582,768
Austria,2020-03-23,4474,892
Austria,2020-03-24,5283,809
Austria,2020-03-25,5588,305
Austria,2020-03-26,6909,1321
Austria,2020-03-27,7657,748
Azerbaijan,2020-03-01,3,0
Azerbaijan,2020-03-02,3,0
Azerbaijan,2020-03-03,3,0
Azerbaijan,2020-03-04,3,0
Azerbaijan,2020-03-05,6,3
Azerbaijan,2020-03-06,6,0
Azerbaijan,2020-03-07,9,3
Azerbaijan,2020-03-08,9,0
Azerbaijan,2020-03-09,9,0
Azerbaijan,2020-03-10,11,2
Azerbaijan,2020-03-11,11,0
Azerbaijan,2020-03-12,11,0
Azerbaijan,2020-03-13,15,4
Azerbaijan,2020-03-14,15,0
Azerbaijan,2020-03-15,23,8
Azerbaijan,2020-03-16,28,5
Azerbaijan,2020-03-17,28,0
Azerbaijan,2020-03-18,28,0
Azerbaijan,2020-03-19,44,16
Azerbaijan,2020-03-20,44,0
Azerbaijan,2020-03-21,53,9
Azerbaijan,2020-03-22,65,12
Azerbaijan,2020-03-23,72,7
Azerbaijan,2020-03-24,87,15
Azerbaijan,2020-03-25,93,6
Azerbaijan,2020-03-26,122,29
Azerbaijan,2020-03-27,165,43
Bahamas,2020-03-01,0,0
Bahamas,2020-03-02,0,0
Bahamas,2020-03-03,0,0
Bahamas,2020-03-04,0,0
Bahamas,2020-03-05,0,0
Bahamas,2020-03-06,0,0
Bahamas,2020-03-07,0,0
Bahamas,2020-03-08,0,0
Bahamas,2020-03-09,0,0
Bahamas,2020-03-10,0,0
Bahamas,2020-03-11,0,0
Bahamas,2020-03-12,0,0
Bahamas,2020-03-13,0,0
Bahamas,2020-03-14,0,0
Bahamas,2020-03-15,0,0
Bahamas,2020-03-16,1,1
Bahamas,2020-03-17,1,0
Bahamas,2020-03-18,1,0
Bahamas,2020-03-19,3,2
Bahamas,2020-03-20,3,0
Bahamas,2020-03-21,4,1
Bahamas,2020-03-22,4,0
Bahamas,2020-03-23,4,0
Bahamas,2020-03-24,5,1
Bahamas,2020-03-25,5,0
Bahamas,2020-03-26,9,4
Bahamas,2020-03-27,10,1
Bahrain,2020-03-01,47,0
Bahrain,2020-03-02,49,2
Bahrain,2020-03-03,49,0
Bahrain,2020-03-04,52,3
Bahrain,2020-03-05,55,3
Bahrain,2020-03-06,60,5
Bahrain,2020-03-07,85,25
Bahrain,2020-03-08,85,0
Bahrain,2020-03-09,95,10
Bahrain,2020-03-10,110,15
Bahrain,2020-03-11,195,85
Bahrain,2020-03-12,195,0
Bahrain,2020-03-13,195,0
Bahrain,2020-03-14,210,15
Bahrain,2020-03-15,214,4
Bahrain,2020-03-16,214,0
Bahrain,2020-03-17,228,14
Bahrain,2020-03-18,256,28
Bahrain,2020-03-19,278,22
Bahrain,2020-03-20,285,7
Bahrain,2020-03-21,305,20
Bahrain,2020-03-22,334,29
Bahrain,2020-03-23,377,43
Bahrain,2020-03-24,392,15
Bahrain,2020-03-25,419,27
Bahrain,2020-03-26,458,39
Bahrain,2020-03-27,466,8
Bangladesh,2020-03-01,0,0
Bangladesh,2020-03-02,0,0
Bangladesh,2020-03-03,0,0
Bangladesh,2020-03-04,0,0
Bangladesh,2020-03-05,0,0
Bangladesh,2020-03-06,0,0
Bangladesh,2020-03-07,0,0
Bangladesh,2020-03-08,3,3
Bangladesh,2020-03-09,3,0
Bangladesh,2020-03-10,3,0
Bangladesh,2020-03-11,3,0
Bangladesh,2020-03-12,3,0
Bangladesh,2020-03-13,3,0
Bangladesh,2020-03-14,3,0
Bangladesh,2020-03-15,5,2
Bangladesh,2020-03-16,8,3
Bangladesh,2020-03-17,10,2
Bangladesh,2020-03-18,14,4
Bangladesh,2020-03-19,17,3
Bangladesh,2020-03-20,20,3
Bangladesh,2020-03-21,25,5
Bangladesh,2020-03-22,27,2
Bangladesh,2020-03-23,33,6
Bangladesh,2020-03-24,39,6
Bangladesh,2020-03-25,39,0
Bangladesh,2020-03-26,44,5
Bangladesh,2020-03-27,48,4
Barbados,2020-03-01,0,0
Barbados,2020-03-02,0,0
Barbados,2020-03-03,0,0
Barbados,2020-03-04,0,0
Barbados,2020-03-05,0,0
Barbados,2020-03-06,0,0
Barbados,2020-03-07,0,0
Barbados,2020-03-08,0,0
Barbados,2020-03-09,0,0
Barbados,2020-03-10,0,0
Barbados,2020-03-11,0,0
Barbados,2020-03-12,0,0
Barbados,2020-03-13,0,0
Barbados,2020-03-14,0,0
Barbados,2020-03-15,0,0
Barbados,2020-03-16,0,0
Barbados,2020-03-17,2,2
Barbados,2020-03-18,2,0
Barbados,2020-03-19,5,3
Barbados,2020-03-20,5,0
Barbados,2020-03-21,6,1
Barbados,2020-03-22,14,8
Barbados,2020-03-23,17,3
Barbados,2020-03-24,18,1
Barbados,2020-03-25,18,0
Barbados,2020-03-26,18,0
Barbados,2020-03-27,24,6
Belarus,2020-03-01,1,0
Belarus,2020-03-02,1,0
Belarus,2020-03-03,1,0
Belarus,2020-03-04,6,5
Belarus,2020-03-05,6,0
Belarus,2020-03-06,6,0
Belarus,2020-03-07,6,0
Belarus,2020-03-08,6,0
Belarus,2020-03-09,6,0
Belarus,2020-03-10,9,3
Belarus,2020-03-11,9,0
Belarus,2020-03-12,12,3
Belarus,2020-03-13,27,15
Belarus,2020-03-14,27,0
Belarus,2020-03-15,27,0
Belarus,2020-03-16,36,9
Belarus,2020-03-17,36,0
Belarus,2020-03-18,51,15
Belarus,2020-03-19,51,0
Belarus,2020-03-20,69,18
Belarus,2020-03-21,76,7
Belarus,2020-03-22,76,0
Belarus,2020-03-23,81,5
Belarus,2020-03-24,81,0
Belarus,2020-03-25,86,5
Belarus,2020-03-26,86,0
Belarus,2020-03-27,94,8
Belgium,2020-03-01,2,0
Belgium,2020-03-02,8,6
Belgium,2020-03-03,13,5
Belgium,2020-03-04,23,10
Belgium,2020-03-05,50,27
Belgium,2020-03-06,109,59
Belgium,2020-03-07,169,60
Belgium,2020-03-08,200,31
Belgium,2020-03-09,239,39
Belgium,2020-03-10,267,28
Belgium,2020-03-11,314,47
Belgium,2020-03-12,314,0
Belgium,2020-03-13,559,245
Belgium,2020-03-14,689,130
Belgium,2020-03-15,886,197
Belgium,2020-03-16,1058,172
Belgium,2020-03-17,1243,185
Belgium,2020-03-18,1486,243
Belgium,2020-03-19,1795,309
Belgium,2020-03-20,2257,462
Belgium,2020-03-21,2815,558
Belgium,2020-03-22,3401,586
Belgium,2020-03-23,3743,342
Belgium,2020-03-24,4269,526
Belgium,2020-03-25,4937,668
Belgium,2020-03-26,6235,1298
Belgium,2020-03-27,7284,1049
Belize,2020-03-01,0,0
Belize,2020-03-02,0,0
Belize,2020-03-03,0,0
Belize,2020-03-04,0,0
Belize,2020-03-05,0,0
Belize,2020-03-06,0,0
Belize,2020-03-07,0,0
Belize,2020-03-08,0,0
Belize,2020-03-09,0,0
Belize,2020-03-10,0,0
Belize,2020-03-11,0,0
Belize,2020-03-12,0,0
Belize,2020-03-13,0,0
Belize,2020-03-14,0,0
Belize,2020-03-15,0,0
Belize,2020-03-16,0,0
Belize,2020-03-17,0,0
Belize,2020-03-18,0,0
Belize,2020-03-19,0,0
Belize,2020-03-20,0,0
Belize,2020-03-21,0,0
Belize,2020-03-22,0,0
Belize,2020-03-23,1,1
Belize,2020-03-24,1,0
Belize,2020-03-25,2,1
Belize,2020-03-26,2,0
Belize,2020-03-27,2,0
Benin,2020-03-01,0,0
Benin,2020-03-02,0,0
Benin,2020-03-03,0,0
Benin,2020-03-04,0,0
Benin,2020-03-05,0,0
Benin,2020-03-06,0,0
Benin,2020-03-07,0,0
Benin,2020-03-08,0,0
Benin,2020-03-09,0,0
Benin,2020-03-10,0,0
Benin,2020-03-11,0,0
Benin,2020-03-12,0,0
Benin,2020-03-13,0,0
Benin,2020-03-14,0,0
Benin,2020-03-15,0,0
Benin,2020-03-16,1,1
Benin,2020-03-17,1,0
Benin,2020-03-18,2,1
Benin,2020-03-19,2,0
Benin,2020-03-20,2,0
Benin,2020-03-21,2,0
Benin,2020-03-22,2,0
Benin,2020-03-23,5,3
Benin,2020-03-24,6,1
Benin,2020-03-25,6,0
Benin,2020-03-26,6,0
Benin,2020-03-27,6,0
Bhutan,2020-03-01,0,0
Bhutan,2020-03-02,0,0
Bhutan,2020-03-03,0,0
Bhutan,2020-03-04,0,0
Bhutan,2020-03-05,0,0
Bhutan,2020-03-06,1,1
Bhutan,2020-03-07,1,0
Bhutan,2020-03-08,1,0
Bhutan,2020-03-09,1,0
Bhutan,2020-03-10,1,0
Bhutan,2020-03-11,1,0
Bhutan,2020-03-12,1,0
Bhutan,2020-03-13,1,0
Bhutan,2020-03-14,1,0
Bhutan,2020-03-15,1,0
Bhutan,2020-03-16,1,0
Bhutan,2020-03-17,1,0
Bhutan,2020-03-18,1,0
Bhutan,2020-03-19,1,0
Bhutan,2020-03-20,2,1
Bhutan,2020-03-21,2,0
Bhutan,2020-03-22,2,0
Bhutan,2020-03-23,2,0
Bhutan,2020-03-24,2,0
Bhutan,2020-03-25,2,0
Bhutan,2020-03-26,2,0
Bhutan,2020-03-27,3,1
Bolivia,2020-03-01,0,0
Bolivia,2020-03-02,0,0
Bolivia,2020-03-03,0,0
Bolivia,2020-03-04,0,0
Bolivia,2020-03-05,0,0
Bolivia,2020-03-06,0,0
Bolivia,2020-03-07,0,0
Bolivia,2020-03-08,0,0
Bolivia,2020-03-09,0,0
Bolivia,2020-03-10,0,0
Bolivia,2020-03-11,2,2
Bolivia,2020-03-12,2,0
Bolivia,2020-03-13,3,1
Bolivia,2020-03-14,10,7
Bolivia,2020-03-15,10,0
Bolivia,2020-03-16,11,1
Bolivia,2020-03-17,11,0
Bolivia,2020-03-18,12,1
Bolivia,2020-03-19,12,0
Bolivia,2020-03-20,15,3
Bolivia,2020-03-21,19,4
Bolivia,2020-03-22,24,5
Bolivia,2020-03-23,27,3
Bolivia,2020-03-24,29,2
Bolivia,2020-03-25,32,3
Bolivia,2020-03-26,43,11
Bolivia,2020-03-27,61,18
Bosnia and Herzegovina,2020-03-01,0,0
Bosnia and Herzegovina,2020-03-02,0,0
Bosnia and Herzegovina,2020-03-03,0,0
Bosnia and Herzegovina,2020-03-04,0,0
Bosnia and Herzegovina,2020-03-05,2,2
Bosnia and Herzegovina,2020-03-06,2,0
Bosnia and Herzegovina,2020-03-07,3,1
Bosnia and Herzegovina,2020-03-08,3,0
Bosnia and Herzegovina,2020-03-09,3,0
Bosnia and Herzegovina,2020-03-10,5,2
Bosnia and Herzegovina,2020-03-11,7,2
Bosnia and Herzegovina,2020-03-12,11,4
Bosnia and Herzegovina,2020-03-13,13,2
Bosnia and Herzegovina,2020-03-14,18,5
Bosnia and Herzegovina,2020-03-15,24,6
Bosnia and Herzegovina,2020-03-16,25,1
Bosnia and Herzegovina,2020-03-17,26,1
Bosnia and Herzegovina,2020-03-18,38,12
Bosnia and Herzegovina,2020-03-19,63,25
Bosnia and Herzegovina,2020-03-20,89,26
Bosnia and Herzegovina,2020-03-21,93,4
Bosnia and Herzegovina,2020-03-22,126,33
Bosnia and Herzegovina,2020-03-23,136,10
Bosnia and Herzegovina,2020-03-24,166,30
Bosnia and Herzegovina,2020-03-25,176,10
Bosnia and Herzegovina,2020-03-26,191,15
Bosnia and Herzegovina,2020-03-27,237,46
Brazil,2020-03-01,2,0
Brazil,2020-03-02,2,0
Brazil,2020-03-03,2,0
Brazil,2020-03-04,4,2
Brazil,2020-03-05,4,0
Brazil,2020-03-06,13,9
Brazil,2020-03-07,13,0
Brazil,2020-03-08,20,7
Brazil,2020-03-09,25,5
Brazil,2020-03-10,31,6
Brazil,2020-03-11,38,7
Brazil,2020-03-12,52,14
Brazil,2020-03-13,151,99
Brazil,2020-03-14,151,0
Brazil,2020-03-15,162,11
Brazil,2020-03-16,200,38
Brazil,2020-03-17,321,121
Brazil,2020-03-18,372,51
Brazil,2020-03-19,621,249
Brazil,2020-03-20,793,172
Brazil,2020-03-21,1021,228
Brazil,2020-03-22,1546,525
Brazil,2020-03-23,1924,378
Brazil,2020-03-24,2247,323
Brazil,2020-03-25,2554,307
Brazil,2020-03-26,2985,431
Brazil,2020-03-27,3417,432
Brunei,2020-03-01,0,0
Brunei,2020-03-02,0,0
Brunei,2020-03-03,0,0
Brunei,2020-03-04,0,0
Brunei,2020-03-05,0,0
Brunei,2020-03-06,0,0
Brunei,2020-03-07,0,0
Brunei,2020-03-08,0,0
Brunei,2020-03-09,1,1
Brunei,2020-03-10,1,0
Brunei,2020-03-11,11,10
Brunei,2020-03-12,11,0
Brunei,2020-03-13,37,26
Brunei,2020-03-14,40,3
Brunei,2020-03-15,50,10
Brunei,2020-03-16,54,4
Brunei,2020-03-17,56,2
Brunei,2020-03-18,68,12
Brunei,2020-03-19,75,7
Brunei,2020-03-20,78,3
Brunei,2020-03-21,83,5
Brunei,2020-03-22,88,5
Brunei,2020-03-23,91,3
Brunei,2020-03-24,104,13
Brunei,2020-03-25,109,5
Brunei,2020-03-26,114,5
Brunei,2020-03-27,115,1
Bulgaria,2020-03-01,0,0
Bulgaria,2020-03-02,0,0
Bulgaria,2020-03-03,0,0
Bulgaria,2020-03-04,0,0
Bulgaria,2020-03-05,0,0
Bulgaria,2020-03-06,0,0
Bulgaria,2020-03-07,0,0
Bulgaria,2020-03-08,4,4
Bulgaria,2020-03-09,4,0
Bulgaria,2020-03-10,4,0
Bulgaria,2020-03-11,7,3
Bulgaria,2020-03-12,7,0
Bulgaria,2020-03-13,23,16
Bulgaria,2020-03-14,41,18
Bulgaria,2020-03-15,51,10
Bulgaria,2020-03-16,52,1
Bulgaria,2020-03-17,67,15
Bulgaria,2020-03-18,92,25
Bulgaria,2020-03-19,94,2
Bulgaria,2020-03-20,127,33
Bulgaria,2020-03-21,163,36
Bulgaria,2020-03-22,187,24
Bulgaria,2020-03-23,201,14
Bulgaria,2020-03-24,218,17
Bulgaria,2020-03-25,242,24
Bulgaria,2020-03-26,264,22
Bulgaria,2020-03-27,293,29
Burkina Faso,2020-03-01,0,0
Burkina Faso,2020-03-02,0,0
Burkina Faso,2020-03-03,0,0
Burkina Faso,2020-03-04,0,0
Burkina Faso,2020-03-05,0,0
Burkina Faso,2020-03-06,0,0
Burkina Faso,2020-03-07,0,0
Burkina Faso,2020-03-08,0,0
Burkina Faso,2020-03-09,0,0
Burkina Faso,2020-03-10,1,1
Burkina Faso,2020-03-11,2,1
Burkina Faso,2020-03-12,2,0
Burkina Faso,2020-03-13,2,0
Burkina Faso,2020-03-14,2,0
Burkina Faso,2020-03-15,3,1
Burkina Faso,2020-03-16,15,12
Burkina Faso,2020-03-17,15,0
Burkina Faso,2020-03-18,20,5
Burkina Faso,2020-03-19,33,13
Burkina Faso,2020-03-20,40,7
Burkina Faso,2020-03-21,64,24
Burkina Faso,2020-03-22,75,11
Burkina Faso,2020-03-23,99,24
Burkina Faso,2020-03-24,114,15
Burkina Faso,2020-03-25,146,32
Burkina Faso,2020-03-26,152,6
Burkina Faso,2020-03-27,180,28
Burma,2020-03-01,0,0
Burma,2020-03-02,0,0
Burma,2020-03-03,0,0
Burma,2020-03-04,0,0
Burma,2020-03-05,0,0
Burma,2020-03-06,0,0
Burma,2020-03-07,0,0
Burma,2020-03-08,0,0
Burma,2020-03-09,0,0
Burma,2020-03-10,0,0
Burma,2020-03-11,0,0
Burma,2020-03-12,0,0
Burma,2020-03-13,0,0
Burma,2020-03-14,0,0
Burma,2020-03-15,0,0
Burma,2020-03-16,0,0
Burma,2020-03-17,0,0
Burma,2020-03-18,0,0
Burma,2020-03-19,0,0
Burma,2020-03-20,0,0
Burma,2020-03-21,0,0
Burma,2020-03-22,0,0
Burma,2020-03-23,0,0
Burma,2020-03-24,0,0
Burma,2020-03-25,0,0
Burma,2020-03-26,0,0
Burma,2020-03-27,8,8
Cabo Verde,2020-03-01,0,0
Cabo Verde,2020-03-02,0,0
Cabo Verde,2020-03-03,0,0
Cabo Verde,2020-03-04,0,0
Cabo Verde,2020-03-05,0,0
Cabo Verde,2020-03-06,0,0
Cabo Verde,2020-03-07,0,0
Cabo Verde,2020-03-08,0,0
Cabo Verde,2020-03-09,0,0
Cabo Verde,2020-03-10,0,0
Cabo Verde,2020-03-11,0,0
Cabo Verde,2020-03-12,0,0
Cabo Verde,2020-03-13,0,0
Cabo Verde,2020-03-14,0,0
Cabo Verde,2020-03-15,0,0
Cabo Verde,2020-03-16,0,0
Cabo Verde,2020-03-17,0,0
Cabo Verde,2020-03-18,0,0
Cabo Verde,2020-03-19,0,0
Cabo Verde,2020-03-20,1,1
Cabo Verde,2020-03-21,3,2
Cabo Verde,2020-03-22,3,0
Cabo Verde,2020-03-23,3,0
Cabo Verde,2020-03-24,3,0
Cabo Verde,2020-03-25,4,1
Cabo Verde,2020-03-26,4,0
Cabo Verde,2020-03-27,5,1
Cambodia,2020-03-01,1,0
Cambodia,2020-03-02,1,0
Cambodia,2020-03-03,1,0
Cambodia,2020-03-04,1,0
Cambodia,2020-03-05,1,0
Cambodia,2020-03-06,1,0
Cambodia,2020-03-07,1,0
Cambodia,2020-03-08,2,1
Cambodia,2020-03-09,2,0
Cambodia,2020-03-10,2,0
Cambodia,2020-03-11,3,1
Cambodia,2020-03-12,3,0
Cambodia,2020-03-13,5,2
Cambodia,2020-03-14,7,2
Cambodia,2020-03-15,7,0
Cambodia,2020-03-16,7,0
Cambodia,2020-03-17,33,26
Cambodia,2020-03-18,35,2
Cambodia,2020-03-19,37,2
Cambodia,2020-03-20,51,14
Cambodia,2020-03-21,53,2
Cambodia,2020-03-22,84,31
Cambodia,2020-03-23,87,3
Cambodia,2020-03-24,91,4
Cambodia,2020-03-25,96,5
Cambodia,2020-03-26,96,0
Cambodia,2020-03-27,99,3
Cameroon,2020-03-01,0,0
Cameroon,2020-03-02,0,0
Cameroon,2020-03-03,0,0
Cameroon,2020-03-04,0,0
Cameroon,2020-03-05,0,0
Cameroon,2020-03-06,1,1
Cameroon,2020-03-07,1,0
Cameroon,2020-03-08,2,1
Cameroon,2020-03-09,2,0
Cameroon,2020-03-10,2,0
Cameroon,2020-03-11,2,0
Cameroon,2020-03-12,2,0
Cameroon,2020-03-13,2,0
Cameroon,2020-03-14,2,0
Cameroon,2020-03-15,2,0
Cameroon,2020-03-16,4,2
Cameroon,2020-03-17,10,6
Cameroon,2020-03-18,10,0
Cameroon,2020-03-19,13,3
Cameroon,2020-03-20,20,7
Cameroon,2020-03-21,27,7
Cameroon,2020-03-22,40,13
Cameroon,2020-03-23,56,16
Cameroon,2020-03-24,66,10
Cameroon,2020-03-25,75,9
Cameroon,2020-03-26,75,0
Cameroon,2020-03-27,91,16
Canada,2020-03-01,24,0
Canada,2020-03-02,27,3
Canada,2020-03-03,30,3
Canada,2020-03-04,33,3
Canada,2020-03-05,37,4
Canada,2020-03-06,49,12
Canada,2020-03-07,54,5
Canada,2020-03-08,64,10
Canada,2020-03-09,77,13
Canada,2020-03-10,79,2
Canada,2020-03-11,108,29
Canada,2020-03-12,117,9
Canada,2020-03-13,193,76
