country,date,accumulated_deaths,increase_of_deaths
Argentina,2020-03-26,9,1
Argentina,2020-03-27,13,4
Armenia,2020-03-01,0,0
Armenia,2020-03-02,0,0
Armenia,2020-03-03,0,0
Armenia,2020-03-04,0,0
Armenia,2020-03-05,0,0
Armenia,2020-03-06,0,0
Armenia,2020-03-07,0,0
Armenia,2020-03-08,0,0
Armenia,2020-03-09,0,0
Armenia,2020-03-10,0,0
Armenia,2020-03-11,0,0
Armenia,2020-03-12,0,0
Armenia,2020-03-13,0,0
Armenia,2020-03-14,0,0
Armenia,2020-03-15,0,0
Armenia,2020-03-16,0,0
Armenia,2020-03-17,0,0
Armenia,2020-03-18,0,0
Armenia,2020-03-19,0,0
Armenia,2020-03-20,0,0
Armenia,2020-03-21,0,0
Armenia,2020-03-22,0,0
Armenia,2020-03-23,0,0
Armenia,2020-03-24,0,0
Armenia,2020-03-25,0,0
Armenia,2020-03-26,1,1
Armenia,2020-03-27,1,0
Australia,2020-03-01,1,0
Australia,2020-03-02,1,0
Australia,2020-03-03,1,0
Australia,2020-03-04,2,1
Australia,2020-03-05,2,0
Australia,2020-03-06,2,0
Australia,2020-03-07,2,0
Australia,2020-03-08,3,1
Australia,2020-03-09,3,0
Australia,2020-03-10,3,0
Australia,2020-03-11,3,0
Australia,2020-03-12,3,0
Australia,2020-03-13,3,0
Australia,2020-03-14,3,0
Australia,2020-03-15,3,0
Australia,2020-03-16,3,0
Australia,2020-03-17,5,2
Australia,2020-03-18,6,1
Australia,2020-03-19,6,0
Australia,2020-03-20,7,1
Australia,2020-03-21,7,0
Australia,2020-03-22,7,0
Australia,2020-03-23,7,0
Australia,2020-03-24,8,1
Australia,2020-03-25,8,0
Australia,2020-03-26,13,5
Australia,2020-03-27,13,0
Austria,2020-03-01,0,0
Austria,2020-03-02,0,0
Austria,2020-03-03,0,0
Austria,2020-03-04,0,0
Austria,2020-03-05,0,0
Austria,2020-03-06,0,0
Austria,2020-03-07,0,0
Austria,2020-03-08,0,0
Austria,2020-03-09,0,0
Austria,2020-03-10,0,0
Austria,2020-03-11,0,0
Austria,2020-03-12,1,1
Austria,2020-03-13,1,0
Austria,2020-03-14,1,0
Austria,2020-03-15,1,0
Austria,2020-03-16,3,2
Austria,2020-03-17,3,0
Austria,2020-03-18,4,1
Austria,2020-03-19,6,2
Austria,2020-03-20,6,0
Austria,2020-03-21,8,2
Austria,2020-03-22,16,8
Austria,2020-03-23,21,5
Austria,2020-03-24,28,7
Austria,2020-03-25,30,2
Austria,2020-03-26,49,19
Austria,2020-03-27,58,9
Azerbaijan,2020-03-01,0,0
Azerbaijan,2020-03-02,0,0
Azerbaijan,2020-03-03,0,0
Azerbaijan,2020-03-04,0,0
Azerbaijan,2020-03-05,0,0
Azerbaijan,2020-03-06,0,0
Azerbaijan,2020-03-07,0,0
Azerbaijan,2020-03-08,0,0
Azerbaijan,2020-03-09,0,0
Azerbaijan,2020-03-10,0,0
Azerbaijan,2020-03-11,0,0
Azerbaijan,2020-03-12,0,0
Azerbaijan,2020-03-13,1,1
Azerbaijan,2020-03-14,1,0
Azerbaijan,2020-03-15,1,0
Azerbaijan,2020-03-16,1,0
Azerbaijan,2020-03-17,1,0
Azerbaijan,2020-03-18,1,0
Azerbaijan,2020-03-19,1,0
Azerbaijan,2020-03-20,1,0
Azerbaijan,2020-03-21,1,0
Azerbaijan,2020-03-22,1,0
Azerbaijan,2020-03-23,1,0
Azerbaijan,2020-03-24,1,0
Azerbaijan,2020-03-25,2,1
Azerbaijan,2020-03-26,3,1
Azerbaijan,2020-03-27,3,0
Bahamas,2020-03-01,0,0
Bahamas,2020-03-02,0,0
Bahamas,2020-03-03,0,0
Bahamas,2020-03-04,0,0
Bahamas,2020-03-05,0,0
Bahamas,2020-03-06,0,0
Bahamas,2020-03-07,0,0
Bahamas,2020-03-08,0,0
Bahamas,2020-03-09,0,0
Bahamas,2020-03-10,0,0
Bahamas,2020-03-11,0,0
Bahamas,2020-03-12,0,0
Bahamas,2020-03-13,0,0
Bahamas,2020-03-14,0,0
Bahamas,2020-03-15,0,0
Bahamas,2020-03-16,0,0
Bahamas,2020-03-17,0,0
Bahamas,2020-03-18,0,0
Bahamas,2020-03-19,0,0
Bahamas,2020-03-20,0,0
Bahamas,2020-03-21,0,0
Bahamas,2020-03-22,0,0
Bahamas,2020-03-23,0,0
Bahamas,2020-03-24,0,0
Bahamas,2020-03-25,0,0
Bahamas,2020-03-26,0,0
Bahamas,2020-03-27,0,0
Bahrain,2020-03-01,0,0
Bahrain,2020-03-02,0,0
Bahrain,2020-03-03,0,0
Bahrain,2020-03-04,0,0
Bahrain,2020-03-05,0,0
Bahrain,2020-03-06,0,0
Bahrain,2020-03-07,0,0
Bahrain,2020-03-08,0,0
Bahrain,2020-03-09,0,0
Bahrain,2020-03-10,0,0
Bahrain,2020-03-11,0,0
Bahrain,2020-03-12,0,0
Bahrain,2020-03-13,0,0
Bahrain,2020-03-14,0,0
Bahrain,2020-03-15,0,0
Bahrain,2020-03-16,1,1
Bahrain,2020-03-17,1,0
Bahrain,2020-03-18,1,0
Bahrain,2020-03-19,1,0
Bahrain,2020-03-20,1,0
Bahrain,2020-03-21,1,0
Bahrain,2020-03-22,2,1
Bahrain,2020-03-23,2,0
Bahrain,2020-03-24,3,1
Bahrain,2020-03-25,4,1
Bahrain,2020-03-26,4,0
Bahrain,2020-03-27,4,0
Bangladesh,2020-03-01,0,0
Bangladesh,2020-03-02,0,0
Bangladesh,2020-03-03,0,0
Bangladesh,2020-03-04,0,0
Bangladesh,2020-03-05,0,0
Bangladesh,2020-03-06,0,0
Bangladesh,2020-03-07,0,0
Bangladesh,2020-03-08,0,0
Bangladesh,2020-03-09,0,0
Bangladesh,2020-03-10,0,0
Bangladesh,2020-03-11,0,0
Bangladesh,2020-03-12,0,0
Bangladesh,2020-03-13,0,0
Bangladesh,2020-03-14,0,0
Bangladesh,2020-03-15,0,0
Bangladesh,2020-03-16,0,0
Bangladesh,2020-03-17,0,0
Bangladesh,2020-03-18,1,1
Bangladesh,2020-03-19,1,0
Bangladesh,2020-03-20,1,0
Bangladesh,2020-03-21,2,1
Bangladesh,2020-03-22,2,0
Bangladesh,2020-03-23,3,1
Bangladesh,2020-03-24,4,1
Bangladesh,2020-03-25,5,1
Bangladesh,2020-03-26,5,0
Bangladesh,2020-03-27,5,0
Barbados,2020-03-01,0,0
Barbados,2020-03-02,0,0
Barbados,2020-03-03,0,0
Barbados,2020-03-04,0,0
Barbados,2020-03-05,0,0
Barbados,2020-03-06,0,0
Barbados,2020-03-07,0,0
Barbados,2020-03-08,0,0
Barbados,2020-03-09,0,0
Barbados,2020-03-10,0,0
Barbados,2020-03-11,0,0
Barbados,2020-03-12,0,0
Barbados,2020-03-13,0,0
Barbados,2020-03-14,0,0
Barbados,2020-03-15,0,0
Barbados,2020-03-16,0,0
Barbados,2020-03-17,0,0
Barbados,2020-03-18,0,0
Barbados,2020-03-19,0,0
Barbados,2020-03-20,0,0
Barbados,2020-03-21,0,0
Barbados,2020-03-22,0,0
Barbados,2020-03-23,0,0
Barbados,2020-03-24,0,0
Barbados,2020-03-25,0,0
Barbados,2020-03-26,0,0
Barbados,2020-03-27,0,0
Belarus,2020-03-01,0,0
Belarus,2020-03-02,0,0
Belarus,2020-03-03,0,0
Belarus,2020-03-04,0,0
Belarus,2020-03-05,0,0
Belarus,2020-03-06,0,0
Belarus,2020-03-07,0,0
Belarus,2020-03-08,0,0
Belarus,2020-03-09,0,0
Belarus,2020-03-10,0,0
Belarus,2020-03-11,0,0
Belarus,2020-03-12,0,0
Belarus,2020-03-13,0,0
Belarus,2020-03-14,0,0
Belarus,2020-03-15,0,0
Belarus,2020-03-16,0,0
Belarus,2020-03-17,0,0
Belarus,2020-03-18,0,0
Belarus,2020-03-19,0,0
Belarus,2020-03-20,0,0
Belarus,2020-03-21,0,0
Belarus,2020-03-22,0,0
Belarus,2020-03-23,0,0
Belarus,2020-03-24,0,0
Belarus,2020-03-25,0,0
Belarus,2020-03-26,0,0
Belarus,2020-03-27,0,0
Belgium,2020-03-01,0,0
Belgium,2020-03-02,0,0
Belgium,2020-03-03,0,0
Belgium,2020-03-04,0,0
Belgium,2020-03-05,0,0
Belgium,2020-03-06,0,0
Belgium,2020-03-07,0,0
Belgium,2020-03-08,0,0
Belgium,2020-03-09,0,0
Belgium,2020-03-10,0,0
Belgium,2020-03-11,3,3
Belgium,2020-03-12,3,0
Belgium,2020-03-13,3,0
Belgium,2020-03-14,4,1
Belgium,2020-03-15,4,0
Belgium,2020-03-16,5,1
Belgium,2020-03-17,10,5
Belgium,2020-03-18,14,4
Belgium,2020-03-19,21,7
Belgium,2020-03-20,37,16
Belgium,2020-03-21,67,30
Belgium,2020-03-22,75,8
Belgium,2020-03-23,88,13
Belgium,2020-03-24,122,34
Belgium,2020-03-25,178,56
Belgium,2020-03-26,220,42
Belgium,2020-03-27,289,69
Belize,2020-03-01,0,0
Belize,2020-03-02,0,0
Belize,2020-03-03,0,0
Belize,2020-03-04,0,0
Belize,2020-03-05,0,0
Belize,2020-03-06,0,0
Belize,2020-03-07,0,0
Belize,2020-03-08,0,0
Belize,2020-03-09,0,0
Belize,2020-03-10,0,0
Belize,2020-03-11,0,0
Belize,2020-03-12,0,0
Belize,2020-03-13,0,0
Belize,2020-03-14,0,0
Belize,2020-03-15,0,0
Belize,2020-03-16,0,0
Belize,2020-03-17,0,0
Belize,2020-03-18,0,0
Belize,2020-03-19,0,0
Belize,2020-03-20,0,0
Belize,2020-03-21,0,0
Belize,2020-03-22,0,0
Belize,2020-03-23,0,0
Belize,2020-03-24,0,0
Belize,2020-03-25,0,0
Belize,2020-03-26,0,0
Belize,2020-03-27,0,0
Benin,2020-03-01,0,0
Benin,2020-03-02,0,0
Benin,2020-03-03,0,0
Benin,2020-03-04,0,0
Benin,2020-03-05,0,0
Benin,2020-03-06,0,0
Benin,2020-03-07,0,0
Benin,2020-03-08,0,0
Benin,2020-03-09,0,0
Benin,2020-03-10,0,0
Benin,2020-03-11,0,0
Benin,2020-03-12,0,0
Benin,2020-03-13,0,0
Benin,2020-03-14,0,0
Benin,2020-03-15,0,0
Benin,2020-03-16,0,0
Benin,2020-03-17,0,0
Benin,2020-03-18,0,0
Benin,2020-03-19,0,0
Benin,2020-03-20,0,0
Benin,2020-03-21,0,0
Benin,2020-03-22,0,0
Benin,2020-03-23,0,0
Benin,2020-03-24,0,0
Benin,2020-03-25,0,0
Benin,2020-03-26,0,0
Benin,2020-03-27,0,0
Bhutan,2020-03-01,0,0
Bhutan,2020-03-02,0,0
Bhutan,2020-03-03,0,0
Bhutan,2020-03-04,0,0
Bhutan,2020-03-05,0,0
Bhutan,2020-03-06,0,0
Bhutan,2020-03-07,0,0
Bhutan,2020-03-08,0,0
Bhutan,2020-03-09,0,0
Bhutan,2020-03-10,0,0
Bhutan,2020-03-11,0,0
Bhutan,2020-03-12,0,0
Bhutan,2020-03-13,0,0
Bhutan,2020-03-14,0,0
Bhutan,2020-03-15,0,0
Bhutan,2020-03-16,0,0
Bhutan,2020-03-17,0,0
Bhutan,2020-03-18,0,0
Bhutan,2020-03-19,0,0
Bhutan,2020-03-20,0,0
Bhutan,2020-03-21,0,0
Bhutan,2020-03-22,0,0
Bhutan,2020-03-23,0,0
Bhutan,2020-03-24,0,0
Bhutan,2020-03-25,0,0
Bhutan,2020-03-26,0,0
Bhutan,2020-03-27,0,0
Bolivia,2020-03-01,0,0
Bolivia,2020-03-02,0,0
Bolivia,2020-03-03,0,0
Bolivia,2020-03-04,0,0
Bolivia,2020-03-05,0,0
Bolivia,2020-03-06,0,0
Bolivia,2020-03-07,0,0
Bolivia,2020-03-08,0,0
Bolivia,2020-03-09,0,0
Bolivia,2020-03-10,0,0
Bolivia,2020-03-11,0,0
Bolivia,2020-03-12,0,0
Bolivia,2020-03-13,0,0
Bolivia,2020-03-14,0,0
Bolivia,2020-03-15,0,0
Bolivia,2020-03-16,0,0
Bolivia,2020-03-17,0,0
Bolivia,2020-03-18,0,0
Bolivia,2020-03-19,0,0
Bolivia,2020-03-20,0,0
Bolivia,2020-03-21,0,0
Bolivia,2020-03-22,0,0
Bolivia,2020-03-23,0,0
Bolivia,2020-03-24,0,0
Bolivia,2020-03-25,0,0
Bolivia,2020-03-26,0,0
Bolivia,2020-03-27,0,0
Bosnia and Herzegovina,2020-03-01,0,0
Bosnia and Herzegovina,2020-03-02,0,0
Bosnia and Herzegovina,2020-03-03,0,0
Bosnia and Herzegovina,2020-03-04,0,0
Bosnia and Herzegovina,2020-03-05,0,0
Bosnia and Herzegovina,2020-03-06,0,0
Bosnia and Herzegovina,2020-03-07,0,0
Bosnia and Herzegovina,2020-03-08,0,0
Bosnia and Herzegovina,2020-03-09,0,0
Bosnia and Herzegovina,2020-03-10,0,0
Bosnia and Herzegovina,2020-03-11,0,0
Bosnia and Herzegovina,2020-03-12,0,0
Bosnia and Herzegovina,2020-03-13,0,0
Bosnia and Herzegovina,2020-03-14,0,0
Bosnia and Herzegovina,2020-03-15,0,0
Bosnia and Herzegovina,2020-03-16,0,0
Bosnia and Herzegovina,2020-03-17,0,0
Bosnia and Herzegovina,2020-03-18,0,0
Bosnia and Herzegovina,2020-03-19,0,0
Bosnia and Herzegovina,2020-03-20,0,0
Bosnia and Herzegovina,2020-03-21,1,1
Bosnia and Herzegovina,2020-03-22,1,0
Bosnia and Herzegovina,2020-03-23,1,0
Bosnia and Herzegovina,2020-03-24,3,2
Bosnia and Herzegovina,2020-03-25,3,0
Bosnia and Herzegovina,2020-03-26,3,0
Bosnia and Herzegovina,2020-03-27,4,1
Brazil,2020-03-01,0,0
Brazil,2020-03-02,0,0
Brazil,2020-03-03,0,0
Brazil,2020-03-04,0,0
Brazil,2020-03-05,0,0
Brazil,2020-03-06,0,0
Brazil,2020-03-07,0,0
Brazil,2020-03-08,0,0
Brazil,2020-03-09,0,0
Brazil,2020-03-10,0,0
Brazil,2020-03-11,0,0
Brazil,2020-03-12,0,0
Brazil,2020-03-13,0,0
Brazil,2020-03-14,0,0
Brazil,2020-03-15,0,0
Brazil,2020-03-16,0,0
Brazil,2020-03-17,1,1
Brazil,2020-03-18,3,2
Brazil,2020-03-19,6,3
Brazil,2020-03-20,11,5
Brazil,2020-03-21,15,4
Brazil,2020-03-22,25,10
Brazil,2020-03-23,34,9
Brazil,2020-03-24,46,12
Brazil,2020-03-25,59,13
Brazil,2020-03-26,77,18
Brazil,2020-03-27,92,15
Brunei,2020-03-01,0,0
Brunei,2020-03-02,0,0
Brunei,2020-03-03,0,0
Brunei,2020-03-04,0,0
Brunei,2020-03-05,0,0
Brunei,2020-03-06,0,0
Brunei,2020-03-07,0,0
Brunei,2020-03-08,0,0
Brunei,2020-03-09,0,0
Brunei,2020-03-10,0,0
Brunei,2020-03-11,0,0
Brunei,2020-03-12,0,0
Brunei,2020-03-13,0,0
Brunei,2020-03-14,0,0
Brunei,2020-03-15,0,0
Brunei,2020-03-16,0,0
Brunei,2020-03-17,0,0
Brunei,2020-03-18,0,0
Brunei,2020-03-19,0,0
Brunei,2020-03-20,0,0
Brunei,2020-03-21,0,0
Brunei,2020-03-22,0,0
Brunei,2020-03-23,0,0
Brunei,2020-03-24,0,0
Brunei,2020-03-25,0,0
Brunei,2020-03-26,0,0
Brunei,2020-03-27,0,0
Bulgaria,2020-03-01,0,0
Bulgaria,2020-03-02,0,0
Bulgaria,2020-03-03,0,0
Bulgaria,2020-03-04,0,0
Bulgaria,2020-03-05,0,0
Bulgaria,2020-03-06,0,0
Bulgaria,2020-03-07,0,0
Bulgaria,2020-03-08,0,0
Bulgaria,2020-03-09,0,0
Bulgaria,2020-03-10,0,0
Bulgaria,2020-03-11,1,1
Bulgaria,2020-03-12,1,0
Bulgaria,2020-03-13,1,0
Bulgaria,2020-03-14,2,1
Bulgaria,2020-03-15,2,0
Bulgaria,2020-03-16,2,0
Bulgaria,2020-03-17,2,0
Bulgaria,2020-03-18,2,0
Bulgaria,2020-03-19,3,1
Bulgaria,2020-03-20,3,0
Bulgaria,2020-03-21,3,0
Bulgaria,2020-03-22,3,0
Bulgaria,2020-03-23,3,0
Bulgaria,2020-03-24,3,0
Bulgaria,2020-03-25,3,0
Bulgaria,2020-03-26,3,0
Bulgaria,2020-03-27,3,0
Burkina Faso,2020-03-01,0,0
Burkina Faso,2020-03-02,0,0
Burkina Faso,2020-03-03,0,0
Burkina Faso,2020-03-04,0,0
Burkina Faso,2020-03-05,0,0
Burkina Faso,2020-03-06,0,0
Burkina Faso,2020-03-07,0,0
Burkina Faso,2020-03-08,0,0
Burkina Faso,2020-03-09,0,0
Burkina Faso,2020-03-10,0,0
Burkina Faso,2020-03-11,0,0
Burkina Faso,2020-03-12,0,0
Burkina Faso,2020-03-13,0,0
Burkina Faso,2020-03-14,0,0
Burkina Faso,2020-03-15,0,0
Burkina Faso,2020-03-16,0,0
Burkina Faso,2020-03-17,0,0
Burkina Faso,2020-03-18,1,1
Burkina Faso,2020-03-19,1,0
Burkina Faso,2020-03-20,1,0
Burkina Faso,2020-03-21,2,1
Burkina Faso,2020-03-22,4,2
Burkina Faso,2020-03-23,4,0
Burkina Faso,2020-03-24,4,0
Burkina Faso,2020-03-25,4,0
Burkina Faso,2020-03-26,7,3
Burkina Faso,2020-03-27,9,2
Burma,2020-03-01,0,0
Burma,2020-03-02,0,0
Burma,2020-03-03,0,0
Burma,2020-03-04,0,0
Burma,2020-03-05,0,0
Burma,2020-03-06,0,0
Burma,2020-03-07,0,0
Burma,2020-03-08,0,0
Burma,2020-03-09,0,0
Burma,2020-03-10,0,0
Burma,2020-03-11,0,0
Burma,2020-03-12,0,0
Burma,2020-03-13,0,0
Burma,2020-03-14,0,0
Burma,2020-03-15,0,0
Burma,2020-03-16,0,0
Burma,2020-03-17,0,0
Burma,2020-03-18,0,0
Burma,2020-03-19,0,0
Burma,2020-03-20,0,0
Burma,2020-03-21,0,0
Burma,2020-03-22,0,0
Burma,2020-03-23,0,0
Burma,2020-03-24,0,0
Burma,2020-03-25,0,0
Burma,2020-03-26,0,0
Burma,2020-03-27,0,0
Cabo Verde,2020-03-01,0,0
Cabo Verde,2020-03-02,0,0
Cabo Verde,2020-03-03,0,0
Cabo Verde,2020-03-04,0,0
Cabo Verde,2020-03-05,0,0
Cabo Verde,2020-03-06,0,0
Cabo Verde,2020-03-07,0,0
Cabo Verde,2020-03-08,0,0
Cabo Verde,2020-03-09,0,0
Cabo Verde,2020-03-10,0,0
Cabo Verde,2020-03-11,0,0
Cabo Verde,2020-03-12,0,0
Cabo Verde,2020-03-13,0,0
Cabo Verde,2020-03-14,0,0
Cabo Verde,2020-03-15,0,0
Cabo Verde,2020-03-16,0,0
Cabo Verde,2020-03-17,0,0
Cabo Verde,2020-03-18,0,0
Cabo Verde,2020-03-19,0,0
Cabo Verde,2020-03-20,0,0
Cabo Verde,2020-03-21,0,0
Cabo Verde,2020-03-22,0,0
Cabo Verde,2020-03-23,0,0
Cabo Verde,2020-03-24,1,1
Cabo Verde,2020-03-25,1,0
Cabo Verde,2020-03-26,1,0
Cabo Verde,2020-03-27,1,0
Cambodia,2020-03-01,0,0
Cambodia,2020-03-02,0,0
Cambodia,2020-03-03,0,0
Cambodia,2020-03-04,0,0
Cambodia,2020-03-05,0,0
Cambodia,2020-03-06,0,0
Cambodia,2020-03-07,0,0
Cambodia,2020-03-08,0,0
Cambodia,2020-03-09,0,0
Cambodia,2020-03-10,0,0
Cambodia,2020-03-11,0,0
Cambodia,2020-03-12,0,0
Cambodia,2020-03-13,0,0
Cambodia,2020-03-14,0,0
Cambodia,2020-03-15,0,0
Cambodia,2020-03-16,0,0
Cambodia,2020-03-17,0,0
Cambodia,2020-03-18,0,0
Cambodia,2020-03-19,0,0
Cambodia,2020-03-20,0,0
Cambodia,2020-03-21,0,0
Cambodia,2020-03-22,0,0
Cambodia,2020-03-23,0,0
Cambodia,2020-03-24,0,0
Cambodia,2020-03-25,0,0
Cambodia,2020-03-26,0,0
Cambodia,2020-03-27,0,0
Cameroon,2020-03-01,0,0
Cameroon,2020-03-02,0,0
Cameroon,2020-03-03,0,0
Cameroon,2020-03-04,0,0
Cameroon,2020-03-05,0,0
Cameroon,2020-03-06,0,0
Cameroon,2020-03-07,0,0
Cameroon,2020-03-08,0,0
Cameroon,2020-03-09,0,0
Cameroon,2020-03-10,0,0
Cameroon,2020-03-11,0,0
Cameroon,2020-03-12,0,0
Cameroon,2020-03-13,0,0
Cameroon,2020-03-14,0,0
Cameroon,2020-03-15,0,0
Cameroon,2020-03-16,0,0
Cameroon,2020-03-17,0,0
Cameroon,2020-03-18,0,0
Cameroon,2020-03-19,0,0
Cameroon,2020-03-20,0,0
Cameroon,2020-03-21,0,0
Cameroon,2020-03-22,0,0
Cameroon,2020-03-23,0,0
Cameroon,2020-03-24,0,0
Cameroon,2020-03-25,1,1
Cameroon,2020-03-26,1,0
Cameroon,2020-03-27,2,1
Canada,2020-03-01,0,0
Canada,2020-03-02,0,0
Canada,2020-03-03,0,0
Canada,2020-03-04,0,0
Canada,2020-03-05,0,0
Canada,2020-03-06,0,0
Canada,2020-03-07,0,0
Canada,2020-03-08,0,0
Canada,2020-03-09,1,1
Canada,2020-03-10,1,0
Canada,2020-03-11,1,0
Canada,2020-03-12,1,0
Canada,2020-03-13,1,0
Canada,2020-03-14,1,0
Canada,2020-03-15,1,0
Canada,2020-03-16,4,3
