country,date,accumulated_recovered,increase_of_recovered
Argentina,2020-03-26,63,11
Argentina,2020-03-27,72,9
Armenia,2020-03-01,0,0
Armenia,2020-03-02,0,0
Armenia,2020-03-03,0,0
Armenia,2020-03-04,0,0
Armenia,2020-03-05,0,0
Armenia,2020-03-06,0,0
Armenia,2020-03-07,0,0
Armenia,2020-03-08,0,0
Armenia,2020-03-09,0,0
Armenia,2020-03-10,0,0
Armenia,2020-03-11,0,0
Armenia,2020-03-12,0,0
Armenia,2020-03-13,0,0
Armenia,2020-03-14,0,0
Armenia,2020-03-15,0,0
Armenia,2020-03-16,0,0
Armenia,2020-03-17,1,1
Armenia,2020-03-18,1,0
Armenia,2020-03-19,1,0
Armenia,2020-03-20,1,0
Armenia,2020-03-21,1,0
Armenia,2020-03-22,2,1
Armenia,2020-03-23,2,0
Armenia,2020-03-24,14,12
Armenia,2020-03-25,16,2
Armenia,2020-03-26,18,2
Armenia,2020-03-27,28,10
Australia,2020-03-01,11,0
Australia,2020-03-02,11,0
Australia,2020-03-03,11,0
Australia,2020-03-04,11,0
Australia,2020-03-05,21,10
Australia,2020-03-06,21,0
Australia,2020-03-07,21,0
Australia,2020-03-08,21,0
Australia,2020-03-09,21,0
Australia,2020-03-10,21,0
Australia,2020-03-11,21,0
Australia,2020-03-12,21,0
Australia,2020-03-13,23,2
Australia,2020-03-14,23,0
Australia,2020-03-15,23,0
Australia,2020-03-16,23,0
Australia,2020-03-17,23,0
Australia,2020-03-18,23,0
Australia,2020-03-19,26,3
Australia,2020-03-20,26,0
Australia,2020-03-21,26,0
Australia,2020-03-22,88,62
Australia,2020-03-23,88,0
Australia,2020-03-24,115,27
Australia,2020-03-25,119,4
Australia,2020-03-26,172,53
Australia,2020-03-27,194,22
Austria,2020-03-01,0,0
Austria,2020-03-02,0,0
Austria,2020-03-03,0,0
Austria,2020-03-04,0,0
Austria,2020-03-05,0,0
Austria,2020-03-06,0,0
Austria,2020-03-07,0,0
Austria,2020-03-08,0,0
Austria,2020-03-09,2,2
Austria,2020-03-10,4,2
Austria,2020-03-11,4,0
Austria,2020-03-12,4,0
Austria,2020-03-13,6,2
Austria,2020-03-14,6,0
Austria,2020-03-15,6,0
Austria,2020-03-16,6,0
Austria,2020-03-17,1,-5
Austria,2020-03-18,9,8
Austria,2020-03-19,9,0
Austria,2020-03-20,9,0
Austria,2020-03-21,9,0
Austria,2020-03-22,9,0
Austria,2020-03-23,9,0
Austria,2020-03-24,9,0
Austria,2020-03-25,9,0
Austria,2020-03-26,112,103
Austria,2020-03-27,225,113
Azerbaijan,2020-03-01,0,0
Azerbaijan,2020-03-02,0,0
Azerbaijan,2020-03-03,0,0
Azerbaijan,2020-03-04,0,0
Azerbaijan,2020-03-05,0,0
Azerbaijan,2020-03-06,0,0
Azerbaijan,2020-03-07,0,0
Azerbaijan,2020-03-08,0,0
Azerbaijan,2020-03-09,0,0
Azerbaijan,2020-03-10,0,0
Azerbaijan,2020-03-11,3,3
Azerbaijan,2020-03-12,3,0
Azerbaijan,2020-03-13,3,0
Azerbaijan,2020-03-14,3,0
Azerbaijan,2020-03-15,6,3
Azerbaijan,2020-03-16,6,0
Azerbaijan,2020-03-17,6,0
Azerbaijan,2020-03-18,6,0
Azerbaijan,2020-03-19,6,0
Azerbaijan,2020-03-20,6,0
Azerbaijan,2020-03-21,11,5
Azerbaijan,2020-03-22,10,-1
Azerbaijan,2020-03-23,10,0
Azerbaijan,2020-03-24,10,0
Azerbaijan,2020-03-25,10,0
Azerbaijan,2020-03-26,15,5
Azerbaijan,2020-03-27,15,0
Bahamas,2020-03-01,0,0
Bahamas,2020-03-02,0,0
Bahamas,2020-03-03,0,0
Bahamas,2020-03-04,0,0
Bahamas,2020-03-05,0,0
Bahamas,2020-03-06,0,0
Bahamas,2020-03-07,0,0
Bahamas,2020-03-08,0,0
Bahamas,2020-03-09,0,0
Bahamas,2020-03-10,0,0
Bahamas,2020-03-11,0,0
Bahamas,2020-03-12,0,0
Bahamas,2020-03-13,0,0
Bahamas,2020-03-14,0,0
Bahamas,2020-03-15,0,0
Bahamas,2020-03-16,0,0
Bahamas,2020-03-17,0,0
Bahamas,2020-03-18,0,0
Bahamas,2020-03-19,0,0
Bahamas,2020-03-20,0,0
Bahamas,2020-03-21,0,0
Bahamas,2020-03-22,0,0
Bahamas,2020-03-23,0,0
Bahamas,2020-03-24,1,1
Bahamas,2020-03-25,1,0
Bahamas,2020-03-26,1,0
Bahamas,2020-03-27,1,0
Bahrain,2020-03-01,0,0
Bahrain,2020-03-02,0,0
Bahrain,2020-03-03,0,0
Bahrain,2020-03-04,0,0
Bahrain,2020-03-05,0,0
Bahrain,2020-03-06,4,4
Bahrain,2020-03-07,4,0
Bahrain,2020-03-08,4,0
Bahrain,2020-03-09,14,10
Bahrain,2020-03-10,22,8
Bahrain,2020-03-11,35,13
Bahrain,2020-03-12,35,0
Bahrain,2020-03-13,44,9
Bahrain,2020-03-14,44,0
Bahrain,2020-03-15,60,16
Bahrain,2020-03-16,77,17
Bahrain,2020-03-17,81,4
Bahrain,2020-03-18,88,7
Bahrain,2020-03-19,100,12
Bahrain,2020-03-20,100,0
Bahrain,2020-03-21,125,25
Bahrain,2020-03-22,149,24
Bahrain,2020-03-23,149,0
Bahrain,2020-03-24,177,28
Bahrain,2020-03-25,177,0
Bahrain,2020-03-26,204,27
Bahrain,2020-03-27,227,23
Bangladesh,2020-03-01,0,0
Bangladesh,2020-03-02,0,0
Bangladesh,2020-03-03,0,0
Bangladesh,2020-03-04,0,0
Bangladesh,2020-03-05,0,0
Bangladesh,2020-03-06,0,0
Bangladesh,2020-03-07,0,0
Bangladesh,2020-03-08,0,0
Bangladesh,2020-03-09,0,0
Bangladesh,2020-03-10,0,0
Bangladesh,2020-03-11,0,0
Bangladesh,2020-03-12,0,0
Bangladesh,2020-03-13,0,0
Bangladesh,2020-03-14,0,0
Bangladesh,2020-03-15,0,0
Bangladesh,2020-03-16,2,2
Bangladesh,2020-03-17,3,1
Bangladesh,2020-03-18,3,0
Bangladesh,2020-03-19,3,0
Bangladesh,2020-03-20,3,0
Bangladesh,2020-03-21,3,0
Bangladesh,2020-03-22,3,0
Bangladesh,2020-03-23,3,0
Bangladesh,2020-03-24,5,2
Bangladesh,2020-03-25,7,2
Bangladesh,2020-03-26,11,4
Bangladesh,2020-03-27,11,0
Barbados,2020-03-01,0,0
Barbados,2020-03-02,0,0
Barbados,2020-03-03,0,0
Barbados,2020-03-04,0,0
Barbados,2020-03-05,0,0
Barbados,2020-03-06,0,0
Barbados,2020-03-07,0,0
Barbados,2020-03-08,0,0
Barbados,2020-03-09,0,0
Barbados,2020-03-10,0,0
Barbados,2020-03-11,0,0
Barbados,2020-03-12,0,0
Barbados,2020-03-13,0,0
Barbados,2020-03-14,0,0
Barbados,2020-03-15,0,0
Barbados,2020-03-16,0,0
Barbados,2020-03-17,0,0
Barbados,2020-03-18,0,0
Barbados,2020-03-19,0,0
Barbados,2020-03-20,0,0
Barbados,2020-03-21,0,0
Barbados,2020-03-22,0,0
Barbados,2020-03-23,0,0
Barbados,2020-03-24,0,0
Barbados,2020-03-25,0,0
Barbados,2020-03-26,0,0
Barbados,2020-03-27,0,0
Belarus,2020-03-01,0,0
Belarus,2020-03-02,0,0
Belarus,2020-03-03,0,0
Belarus,2020-03-04,0,0
Belarus,2020-03-05,0,0
Belarus,2020-03-06,0,0
Belarus,2020-03-07,0,0
Belarus,2020-03-08,0,0
Belarus,2020-03-09,1,1
Belarus,2020-03-10,3,2
Belarus,2020-03-11,3,0
Belarus,2020-03-12,3,0
Belarus,2020-03-13,3,0
Belarus,2020-03-14,3,0
Belarus,2020-03-15,3,0
Belarus,2020-03-16,3,0
Belarus,2020-03-17,3,0
Belarus,2020-03-18,5,2
Belarus,2020-03-19,5,0
Belarus,2020-03-20,5,0
Belarus,2020-03-21,15,10
Belarus,2020-03-22,15,0
Belarus,2020-03-23,15,0
Belarus,2020-03-24,22,7
Belarus,2020-03-25,29,7
Belarus,2020-03-26,29,0
Belarus,2020-03-27,32,3
Belgium,2020-03-01,1,0
Belgium,2020-03-02,1,0
Belgium,2020-03-03,1,0
Belgium,2020-03-04,1,0
Belgium,2020-03-05,1,0
Belgium,2020-03-06,1,0
Belgium,2020-03-07,1,0
Belgium,2020-03-08,1,0
Belgium,2020-03-09,1,0
Belgium,2020-03-10,1,0
Belgium,2020-03-11,1,0
Belgium,2020-03-12,1,0
Belgium,2020-03-13,1,0
Belgium,2020-03-14,1,0
Belgium,2020-03-15,1,0
Belgium,2020-03-16,1,0
Belgium,2020-03-17,1,0
Belgium,2020-03-18,31,30
Belgium,2020-03-19,31,0
Belgium,2020-03-20,1,-30
Belgium,2020-03-21,263,262
Belgium,2020-03-22,263,0
Belgium,2020-03-23,263,0
Belgium,2020-03-24,461,198
Belgium,2020-03-25,547,86
Belgium,2020-03-26,675,128
Belgium,2020-03-27,858,183
Belize,2020-03-01,0,0
Belize,2020-03-02,0,0
Belize,2020-03-03,0,0
Belize,2020-03-04,0,0
Belize,2020-03-05,0,0
Belize,2020-03-06,0,0
Belize,2020-03-07,0,0
Belize,2020-03-08,0,0
Belize,2020-03-09,0,0
Belize,2020-03-10,0,0
Belize,2020-03-11,0,0
Belize,2020-03-12,0,0
Belize,2020-03-13,0,0
Belize,2020-03-14,0,0
Belize,2020-03-15,0,0
Belize,2020-03-16,0,0
Belize,2020-03-17,0,0
Belize,2020-03-18,0,0
Belize,2020-03-19,0,0
Belize,2020-03-20,0,0
Belize,2020-03-21,0,0
Belize,2020-03-22,0,0
Belize,2020-03-23,0,0
Belize,2020-03-24,0,0
Belize,2020-03-25,0,0
Belize,2020-03-26,0,0
Belize,2020-03-27,0,0
Benin,2020-03-01,0,0
Benin,2020-03-02,0,0
Benin,2020-03-03,0,0
Benin,2020-03-04,0,0
Benin,2020-03-05,0,0
Benin,2020-03-06,0,0
Benin,2020-03-07,0,0
Benin,2020-03-08,0,0
Benin,2020-03-09,0,0
Benin,2020-03-10,0,0
Benin,2020-03-11,0,0
Benin,2020-03-12,0,0
Benin,2020-03-13,0,0
Benin,2020-03-14,0,0
Benin,2020-03-15,0,0
Benin,2020-03-16,0,0
Benin,2020-03-17,0,0
Benin,2020-03-18,0,0
Benin,2020-03-19,0,0
Benin,2020-03-20,0,0
Benin,2020-03-21,0,0
Benin,2020-03-22,0,0
Benin,2020-03-23,0,0
Benin,2020-03-24,0,0
Benin,2020-03-25,0,0
Benin,2020-03-26,0,0
Benin,2020-03-27,0,0
Bhutan,2020-03-01,0,0
Bhutan,2020-03-02,0,0
Bhutan,2020-03-03,0,0
Bhutan,2020-03-04,0,0
Bhutan,2020-03-05,0,0
Bhutan,2020-03-06,0,0
Bhutan,2020-03-07,0,0
Bhutan,2020-03-08,0,0
Bhutan,2020-03-09,0,0
Bhutan,2020-03-10,0,0
Bhutan,2020-03-11,0,0
Bhutan,2020-03-12,0,0
Bhutan,2020-03-13,0,0
Bhutan,2020-03-14,0,0
Bhutan,2020-03-15,0,0
Bhutan,2020-03-16,0,0
Bhutan,2020-03-17,0,0
Bhutan,2020-03-18,0,0
Bhutan,2020-03-19,0,0
Bhutan,2020-03-20,0,0
Bhutan,2020-03-21,0,0
Bhutan,2020-03-22,0,0
Bhutan,2020-03-23,0,0
Bhutan,2020-03-24,0,0
Bhutan,2020-03-25,0,0
Bhutan,2020-03-26,0,0
Bhutan,2020-03-27,0,0
Bolivia,2020-03-01,0,0
Bolivia,2020-03-02,0,0
Bolivia,2020-03-03,0,0
Bolivia,2020-03-04,0,0
Bolivia,2020-03-05,0,0
Bolivia,2020-03-06,0,0
Bolivia,2020-03-07,0,0
Bolivia,2020-03-08,0,0
Bolivia,2020-03-09,0,0
Bolivia,2020-03-10,0,0
Bolivia,2020-03-11,0,0
Bolivia,2020-03-12,0,0
Bolivia,2020-03-13,0,0
Bolivia,2020-03-14,0,0
Bolivia,2020-03-15,0,0
Bolivia,2020-03-16,0,0
Bolivia,2020-03-17,0,0
Bolivia,2020-03-18,0,0
Bolivia,2020-03-19,0,0
Bolivia,2020-03-20,0,0
Bolivia,2020-03-21,0,0
Bolivia,2020-03-22,0,0
Bolivia,2020-03-23,0,0
Bolivia,2020-03-24,0,0
Bolivia,2020-03-25,0,0
Bolivia,2020-03-26,0,0
Bolivia,2020-03-27,0,0
Bosnia and Herzegovina,2020-03-01,0,0
Bosnia and Herzegovina,2020-03-02,0,0
Bosnia and Herzegovina,2020-03-03,0,0
Bosnia and Herzegovina,2020-03-04,0,0
Bosnia and Herzegovina,2020-03-05,0,0
Bosnia and Herzegovina,2020-03-06,0,0
Bosnia and Herzegovina,2020-03-07,0,0
Bosnia and Herzegovina,2020-03-08,0,0
Bosnia and Herzegovina,2020-03-09,0,0
Bosnia and Herzegovina,2020-03-10,0,0
Bosnia and Herzegovina,2020-03-11,0,0
Bosnia and Herzegovina,2020-03-12,0,0
Bosnia and Herzegovina,2020-03-13,0,0
Bosnia and Herzegovina,2020-03-14,0,0
Bosnia and Herzegovina,2020-03-15,0,0
Bosnia and Herzegovina,2020-03-16,0,0
Bosnia and Herzegovina,2020-03-17,2,2
Bosnia and Herzegovina,2020-03-18,2,0
Bosnia and Herzegovina,2020-03-19,2,0
Bosnia and Herzegovina,2020-03-20,2,0
Bosnia and Herzegovina,2020-03-21,2,0
Bosnia and Herzegovina,2020-03-22,2,0
Bosnia and Herzegovina,2020-03-23,2,0
Bosnia and Herzegovina,2020-03-24,2,0
Bosnia and Herzegovina,2020-03-25,2,0
Bosnia and Herzegovina,2020-03-26,2,0
Bosnia and Herzegovina,2020-03-27,5,3
Brazil,2020-03-01,0,0
Brazil,2020-03-02,0,0
Brazil,2020-03-03,0,0
Brazil,2020-03-04,0,0
Brazil,2020-03-05,0,0
Brazil,2020-03-06,0,0
Brazil,2020-03-07,0,0
Brazil,2020-03-08,0,0
Brazil,2020-03-09,0,0
Brazil,2020-03-10,0,0
Brazil,2020-03-11,0,0
Brazil,2020-03-12,0,0
Brazil,2020-03-13,0,0
Brazil,2020-03-14,0,0
Brazil,2020-03-15,0,0
Brazil,2020-03-16,1,1
Brazil,2020-03-17,2,1
Brazil,2020-03-18,2,0
Brazil,2020-03-19,2,0
Brazil,2020-03-20,2,0
Brazil,2020-03-21,2,0
Brazil,2020-03-22,2,0
Brazil,2020-03-23,2,0
Brazil,2020-03-24,2,0
Brazil,2020-03-25,2,0
Brazil,2020-03-26,6,4
Brazil,2020-03-27,6,0
Brunei,2020-03-01,0,0
Brunei,2020-03-02,0,0
Brunei,2020-03-03,0,0
Brunei,2020-03-04,0,0
Brunei,2020-03-05,0,0
Brunei,2020-03-06,0,0
Brunei,2020-03-07,0,0
Brunei,2020-03-08,0,0
Brunei,2020-03-09,0,0
Brunei,2020-03-10,0,0
Brunei,2020-03-11,0,0
Brunei,2020-03-12,0,0
Brunei,2020-03-13,0,0
Brunei,2020-03-14,0,0
Brunei,2020-03-15,0,0
Brunei,2020-03-16,0,0
Brunei,2020-03-17,0,0
Brunei,2020-03-18,0,0
Brunei,2020-03-19,0,0
Brunei,2020-03-20,1,1
Brunei,2020-03-21,2,1
Brunei,2020-03-22,2,0
Brunei,2020-03-23,2,0
Brunei,2020-03-24,2,0
Brunei,2020-03-25,2,0
Brunei,2020-03-26,5,3
Brunei,2020-03-27,11,6
Bulgaria,2020-03-01,0,0
Bulgaria,2020-03-02,0,0
Bulgaria,2020-03-03,0,0
Bulgaria,2020-03-04,0,0
Bulgaria,2020-03-05,0,0
Bulgaria,2020-03-06,0,0
Bulgaria,2020-03-07,0,0
Bulgaria,2020-03-08,0,0
Bulgaria,2020-03-09,0,0
Bulgaria,2020-03-10,0,0
Bulgaria,2020-03-11,0,0
Bulgaria,2020-03-12,0,0
Bulgaria,2020-03-13,0,0
Bulgaria,2020-03-14,0,0
Bulgaria,2020-03-15,0,0
Bulgaria,2020-03-16,0,0
Bulgaria,2020-03-17,0,0
Bulgaria,2020-03-18,0,0
Bulgaria,2020-03-19,0,0
Bulgaria,2020-03-20,0,0
Bulgaria,2020-03-21,3,3
Bulgaria,2020-03-22,3,0
Bulgaria,2020-03-23,3,0
Bulgaria,2020-03-24,3,0
Bulgaria,2020-03-25,4,1
Bulgaria,2020-03-26,8,4
Bulgaria,2020-03-27,9,1
Burkina Faso,2020-03-01,0,0
Burkina Faso,2020-03-02,0,0
Burkina Faso,2020-03-03,0,0
Burkina Faso,2020-03-04,0,0
Burkina Faso,2020-03-05,0,0
Burkina Faso,2020-03-06,0,0
Burkina Faso,2020-03-07,0,0
Burkina Faso,2020-03-08,0,0
Burkina Faso,2020-03-09,0,0
Burkina Faso,2020-03-10,0,0
Burkina Faso,2020-03-11,0,0
Burkina Faso,2020-03-12,0,0
Burkina Faso,2020-03-13,0,0
Burkina Faso,2020-03-14,0,0
Burkina Faso,2020-03-15,0,0
Burkina Faso,2020-03-16,0,0
Burkina Faso,2020-03-17,0,0
Burkina Faso,2020-03-18,0,0
Burkina Faso,2020-03-19,0,0
Burkina Faso,2020-03-20,0,0
Burkina Faso,2020-03-21,5,5
Burkina Faso,2020-03-22,5,0
Burkina Faso,2020-03-23,5,0
Burkina Faso,2020-03-24,7,2
Burkina Faso,2020-03-25,10,3
Burkina Faso,2020-03-26,10,0
Burkina Faso,2020-03-27,12,2
Burma,2020-03-01,0,0
Burma,2020-03-02,0,0
Burma,2020-03-03,0,0
Burma,2020-03-04,0,0
Burma,2020-03-05,0,0
Burma,2020-03-06,0,0
Burma,2020-03-07,0,0
Burma,2020-03-08,0,0
Burma,2020-03-09,0,0
Burma,2020-03-10,0,0
Burma,2020-03-11,0,0
Burma,2020-03-12,0,0
Burma,2020-03-13,0,0
Burma,2020-03-14,0,0
Burma,2020-03-15,0,0
Burma,2020-03-16,0,0
Burma,2020-03-17,0,0
Burma,2020-03-18,0,0
Burma,2020-03-19,0,0
Burma,2020-03-20,0,0
Burma,2020-03-21,0,0
Burma,2020-03-22,0,0
Burma,2020-03-23,0,0
Burma,2020-03-24,0,0
Burma,2020-03-25,0,0
Burma,2020-03-26,0,0
Burma,2020-03-27,0,0
Cabo Verde,2020-03-01,0,0
Cabo Verde,2020-03-02,0,0
Cabo Verde,2020-03-03,0,0
Cabo Verde,2020-03-04,0,0
Cabo Verde,2020-03-05,0,0
Cabo Verde,2020-03-06,0,0
Cabo Verde,2020-03-07,0,0
Cabo Verde,2020-03-08,0,0
Cabo Verde,2020-03-09,0,0
Cabo Verde,2020-03-10,0,0
Cabo Verde,2020-03-11,0,0
Cabo Verde,2020-03-12,0,0
Cabo Verde,2020-03-13,0,0
Cabo Verde,2020-03-14,0,0
Cabo Verde,2020-03-15,0,0
Cabo Verde,2020-03-16,0,0
Cabo Verde,2020-03-17,0,0
Cabo Verde,2020-03-18,0,0
Cabo Verde,2020-03-19,0,0
Cabo Verde,2020-03-20,0,0
Cabo Verde,2020-03-21,0,0
Cabo Verde,2020-03-22,0,0
Cabo Verde,2020-03-23,0,0
Cabo Verde,2020-03-24,0,0
Cabo Verde,2020-03-25,0,0
Cabo Verde,2020-03-26,0,0
Cabo Verde,2020-03-27,0,0
Cambodia,2020-03-01,1,0
Cambodia,2020-03-02,1,0
Cambodia,2020-03-03,1,0
Cambodia,2020-03-04,1,0
Cambodia,2020-03-05,1,0
Cambodia,2020-03-06,1,0
Cambodia,2020-03-07,1,0
Cambodia,2020-03-08,1,0
Cambodia,2020-03-09,1,0
Cambodia,2020-03-10,1,0
Cambodia,2020-03-11,1,0
Cambodia,2020-03-12,1,0
Cambodia,2020-03-13,1,0
Cambodia,2020-03-14,1,0
Cambodia,2020-03-15,1,0
Cambodia,2020-03-16,1,0
Cambodia,2020-03-17,1,0
Cambodia,2020-03-18,1,0
Cambodia,2020-03-19,1,0
Cambodia,2020-03-20,1,0
Cambodia,2020-03-21,1,0
Cambodia,2020-03-22,1,0
Cambodia,2020-03-23,1,0
Cambodia,2020-03-24,4,3
Cambodia,2020-03-25,10,6
Cambodia,2020-03-26,10,0
Cambodia,2020-03-27,11,1
Cameroon,2020-03-01,0,0
Cameroon,2020-03-02,0,0
Cameroon,2020-03-03,0,0
Cameroon,2020-03-04,0,0
Cameroon,2020-03-05,0,0
Cameroon,2020-03-06,0,0
Cameroon,2020-03-07,0,0
Cameroon,2020-03-08,0,0
Cameroon,2020-03-09,0,0
Cameroon,2020-03-10,0,0
Cameroon,2020-03-11,0,0
Cameroon,2020-03-12,0,0
Cameroon,2020-03-13,0,0
Cameroon,2020-03-14,0,0
Cameroon,2020-03-15,0,0
Cameroon,2020-03-16,0,0
Cameroon,2020-03-17,0,0
Cameroon,2020-03-18,0,0
Cameroon,2020-03-19,0,0
Cameroon,2020-03-20,0,0
Cameroon,2020-03-21,0,0
Cameroon,2020-03-22,0,0
Cameroon,2020-03-23,0,0
Cameroon,2020-03-24,0,0
Cameroon,2020-03-25,2,2
Cameroon,2020-03-26,2,0
Cameroon,2020-03-27,2,0
Canada,2020-03-01,6,0
Canada,2020-03-02,6,0
Canada,2020-03-03,6,0
Canada,2020-03-04,6,0
Canada,2020-03-05,6,0
Canada,2020-03-06,6,0
Canada,2020-03-07,8,2
Canada,2020-03-08,8,0
Canada,2020-03-09,8,0
Canada,2020-03-10,8,0
Canada,2020-03-11,8,0
Canada,2020-03-12,8,0
Canada,2020-03-13,8,0
Canada,2020-03-14,8,0
Canada,2020-03-15,8,0
